1000_P_1000all,1000_bprefall,1000_errall,1000_infAPall,1000_mapall,1000_ndcgall,1000_rbp_95all,100_P_1000all,100_bprefall,100_errall,100_infAPall,100_mapall,100_ndcgall,100_rbp_95all,10_P_1000all,10_bprefall,10_errall,10_infAPall,10_mapall,10_ndcgall,10_rbp_95all,20_P_1000all,20_bprefall,20_errall,20_infAPall,20_mapall,20_ndcgall,20_rbp_95all,30_P_1000all,30_bprefall,30_errall,30_infAPall,30_mapall,30_ndcgall,30_rbp_95all,40_P_1000all,40_bprefall,40_errall,40_infAPall,40_mapall,40_ndcgall,40_rbp_95all,50_P_1000all,50_bprefall,50_errall,50_infAPall,50_mapall,50_ndcgall,50_rbp_95all
0.0497,0.2818,0.18025,0.1731,0.1701,0.3573,0.4412,0.028,0.1934,0.17976,0.1428,0.1402,0.264,0.4406,0.005,0.0463,0.16245,0.0351,0.0344,0.0978,0.2032,0.01,0.086,0.17402,0.0631,0.0621,0.1459,0.3235,0.0145,0.1159,0.17705,0.0858,0.0844,0.1774,0.3872,0.0174,0.1352,0.17816,0.1012,0.0994,0.1977,0.4126,0.02,0.15,0.17891,0.1125,0.1106,0.2149,0.4264
0.0428,0.272,0.17922,0.1663,0.1633,0.3331,0.4448,0.026,0.1927,0.17883,0.1431,0.1406,0.2607,0.4414,0.0057,0.053,0.16133,0.0434,0.0429,0.1065,0.2183,0.0109,0.0953,0.17374,0.0743,0.0731,0.1587,0.3401,0.0149,0.1236,0.17686,0.0962,0.0947,0.1903,0.3966,0.0175,0.142,0.1777,0.1105,0.1086,0.2098,0.4195,0.0195,0.1555,0.17818,0.1206,0.1186,0.224,0.4298
0.0448,0.2683,0.17932,0.1704,0.1668,0.3391,0.4513,0.0288,0.2009,0.17908,0.1487,0.1455,0.2737,0.4495,0.0051,0.0468,0.16042,0.0351,0.0341,0.0964,0.2053,0.0102,0.0873,0.17292,0.0639,0.0622,0.145,0.3264,0.0151,0.1209,0.17653,0.0909,0.0888,0.1856,0.3939,0.0187,0.1441,0.17764,0.1096,0.107,0.2102,0.4241,0.0211,0.1591,0.17827,0.1207,0.1179,0.2273,0.4364
0.022,0.1725,0.17742,0.1385,0.1348,0.2341,0.4583,0.022,0.1725,0.17742,0.1385,0.1348,0.2341,0.4583,0.0053,0.0462,0.16037,0.0371,0.0364,0.0917,0.2137,0.0106,0.0921,0.17188,0.0717,0.07,0.1463,0.3414,0.0154,0.1263,0.17546,0.0995,0.0968,0.1842,0.4102,0.0192,0.1529,0.17694,0.1222,0.1189,0.2147,0.4431,0.022,0.1725,0.17742,0.1385,0.1348,0.2341,0.4583
0.022,0.1705,0.17904,0.1333,0.1311,0.2319,0.4446,0.022,0.1705,0.17904,0.1333,0.1311,0.2319,0.4446,0.0049,0.0425,0.16173,0.0331,0.0328,0.0886,0.1984,0.0101,0.0863,0.17358,0.0654,0.0646,0.1402,0.3239,0.015,0.123,0.17706,0.0947,0.0933,0.1824,0.3944,0.0189,0.15,0.17854,0.117,0.1151,0.2111,0.4283,0.022,0.1705,0.17904,0.1333,0.1311,0.2319,0.4446
0.0322,0.1965,0.1779,0.0969,0.0943,0.2707,0.3117,0.0163,0.1214,0.1773,0.0769,0.075,0.188,0.3113,0.0041,0.0397,0.16302,0.0283,0.0279,0.0875,0.1686,0.0075,0.067,0.17238,0.0451,0.0442,0.1226,0.25,0.01,0.084,0.17517,0.0567,0.0554,0.1448,0.2879,0.0113,0.0922,0.17584,0.0619,0.0605,0.1545,0.2997,0.0123,0.0986,0.1762,0.0655,0.064,0.1609,0.3049
0.0324,0.1973,0.17426,0.0989,0.0965,0.2708,0.3173,0.0174,0.1266,0.17373,0.08,0.0782,0.1942,0.317,0.0042,0.0403,0.15791,0.0275,0.0272,0.0865,0.1713,0.0074,0.0665,0.16874,0.0435,0.0429,0.1215,0.2491,0.0101,0.0839,0.17139,0.055,0.054,0.1414,0.2886,0.0117,0.0936,0.17244,0.0612,0.0601,0.1537,0.3026,0.0131,0.1021,0.17292,0.0665,0.0652,0.1645,0.3101
0.077,0.406,0.19797,0.2699,0.2652,0.5229,0.4824,0.0343,0.2446,0.19762,0.1903,0.1875,0.3324,0.4814,0.0054,0.05,0.17898,0.0368,0.0365,0.1029,0.2149,0.0108,0.0973,0.19148,0.0712,0.0702,0.1624,0.3452,0.0154,0.1325,0.19469,0.1,0.0987,0.2024,0.4119,0.0193,0.1585,0.19589,0.1229,0.1212,0.2333,0.4459,0.0225,0.1784,0.19651,0.1391,0.1371,0.2561,0.4628
0.0801,0.4285,0.20211,0.3083,0.3029,0.5553,0.503,0.0364,0.2659,0.20182,0.2144,0.2114,0.3606,0.5019,0.0058,0.0622,0.18439,0.0508,0.0504,0.1216,0.2307,0.0112,0.1096,0.19532,0.0882,0.0872,0.1804,0.362,0.0159,0.1434,0.19837,0.1165,0.1152,0.2193,0.4311,0.0197,0.1694,0.20024,0.1381,0.1364,0.2522,0.4635,0.023,0.1897,0.20085,0.1559,0.1539,0.2774,0.4807
0.0705,0.3814,0.19456,0.2426,0.2382,0.5003,0.4859,0.0317,0.2273,0.19414,0.1753,0.1726,0.3194,0.4851,0.0057,0.0528,0.17706,0.0416,0.0412,0.1117,0.2289,0.011,0.0958,0.18807,0.0748,0.0739,0.166,0.3575,0.0156,0.1287,0.19125,0.1024,0.101,0.2056,0.4236,0.0192,0.1547,0.19262,0.1239,0.1221,0.2377,0.455,0.0223,0.1744,0.19322,0.1388,0.1368,0.2596,0.471
