P_1000all,P_100all,P_10all,P_20all,Rprecall,bprefall,errall,map_cut_1000all,map_cut_100all,map_cut_10all,map_cut_20all,ndcg_cut_1000all,ndcg_cut_100all,ndcg_cut_10all,ndcg_cut_20all,rdp_5all,rdp_8all,rdp_95all,recall_1000all,recall_100all,recall_10all,recall_20all,recip_rankall
0.045,0.172,0.388,0.359,0.1845,0.3413,0.13405,0.1367,0.0996,0.0341,0.0573,0.366,0.2468,0.2687,0.2718,0.404,0.3728,0.2838,0.5351,0.2268,0.0527,0.0993,0.5625
0.0079,0.0686,0.324,0.253,0.0764,0.0819,0.10143,0.0466,0.0459,0.0335,0.0416,0.1106,0.1173,0.2123,0.1949,0.3632,0.3246,0.1869,0.0924,0.0807,0.0463,0.0618,0.4693
0.0224,0.1452,0.35,0.324,0.152,0.1768,0.10671,0.08,0.0718,0.0296,0.0454,0.2235,0.1991,0.2163,0.2301,0.3633,0.3508,0.2652,0.2765,0.1724,0.048,0.0867,0.5197
0.0217,0.1504,0.342,0.329,0.1548,0.1695,0.11705,0.0809,0.0733,0.0278,0.0447,0.2226,0.2065,0.2243,0.2397,0.3559,0.3401,0.2676,0.2669,0.1794,0.0473,0.0894,0.5282
0.0445,0.1598,0.286,0.277,0.1678,0.2678,0.09231,0.1128,0.0788,0.0261,0.0432,0.3435,0.2165,0.1932,0.2073,0.2806,0.2834,0.2354,0.5454,0.2206,0.0413,0.0819,0.397
0.0431,0.1606,0.294,0.272,0.1765,0.2811,0.09569,0.1214,0.0861,0.0302,0.0453,0.3472,0.2275,0.203,0.2145,0.3165,0.3015,0.2406,0.5374,0.2326,0.0502,0.0871,0.4427
0.0376,0.1404,0.312,0.296,0.1479,0.2597,0.10121,0.1015,0.0766,0.0285,0.0457,0.313,0.2027,0.2123,0.2184,0.3103,0.3105,0.2378,0.4969,0.1927,0.0463,0.0804,0.4341
0.0429,0.158,0.296,0.27,0.1718,0.2785,0.09225,0.1199,0.084,0.0285,0.0435,0.3444,0.2233,0.2033,0.2129,0.2943,0.2934,0.2381,0.5421,0.2305,0.0491,0.0846,0.4045
0.0444,0.1618,0.3,0.292,0.169,0.2647,0.09731,0.1189,0.0831,0.0286,0.0466,0.3498,0.2227,0.205,0.2198,0.3274,0.3109,0.2469,0.5549,0.2251,0.0424,0.0858,0.4462
0.0432,0.1652,0.298,0.275,0.1839,0.2894,0.09267,0.1288,0.0921,0.0308,0.0473,0.3543,0.2323,0.2044,0.2152,0.2869,0.2918,0.2424,0.5502,0.2403,0.051,0.09,0.401
0.0305,0.121,0.274,0.247,0.1127,0.2021,0.08479,0.0709,0.0533,0.021,0.0322,0.2247,0.149,0.1741,0.1689,0.2591,0.2632,0.2004,0.3328,0.1316,0.0296,0.0517,0.3536
0.0317,0.1414,0.286,0.28,0.1357,0.207,0.07435,0.0849,0.0664,0.0207,0.0355,0.2395,0.1688,0.1606,0.176,0.2125,0.2516,0.2275,0.3657,0.1613,0.0379,0.0644,0.2909
0.0298,0.1478,0.384,0.33,0.1658,0.2717,0.15215,0.1059,0.0884,0.0384,0.0573,0.2999,0.2338,0.2816,0.2711,0.4268,0.3888,0.2744,0.3927,0.2033,0.0596,0.0957,0.5896
0.0228,0.1154,0.358,0.298,0.1261,0.2095,0.11957,0.0667,0.0581,0.0291,0.0412,0.2205,0.1778,0.2366,0.2301,0.3592,0.3426,0.233,0.2895,0.162,0.0479,0.0814,0.4942
0.03,0.1508,0.398,0.344,0.1689,0.2721,0.14773,0.1071,0.0902,0.0386,0.0579,0.3,0.2351,0.2831,0.2765,0.4106,0.387,0.2838,0.401,0.2133,0.0644,0.1088,0.581
0.0153,0.115,0.34,0.278,0.1171,0.123,0.12032,0.059,0.0555,0.0295,0.0397,0.1634,0.1603,0.2346,0.215,0.4265,0.3565,0.2316,0.1608,0.1217,0.0433,0.067,0.6134
0.015,0.112,0.366,0.303,0.1148,0.1271,0.11308,0.0613,0.0582,0.0329,0.0442,0.1642,0.1612,0.2443,0.2253,0.4164,0.3728,0.2402,0.1573,0.1224,0.0475,0.0711,0.581
0.0484,0.182,0.396,0.35,0.2087,0.3187,0.14693,0.1619,0.1173,0.046,0.0685,0.4087,0.2738,0.2852,0.2833,0.4338,0.4077,0.2971,0.6107,0.2676,0.0673,0.1094,0.5499
0.0488,0.183,0.386,0.335,0.204,0.3106,0.14746,0.1581,0.1116,0.0396,0.061,0.4098,0.2706,0.2801,0.274,0.4302,0.3959,0.2903,0.6228,0.2674,0.0588,0.0993,0.5415
0.0507,0.1936,0.394,0.369,0.2225,0.3218,0.16042,0.1741,0.1265,0.0465,0.0717,0.4314,0.2928,0.2992,0.3045,0.4478,0.411,0.3098,0.6355,0.2955,0.0689,0.1192,0.5857
0.051,0.192,0.412,0.37,0.2226,0.3167,0.14151,0.1723,0.1235,0.0455,0.0702,0.4229,0.2808,0.2934,0.2938,0.4261,0.4083,0.3085,0.636,0.2711,0.069,0.1134,0.5471
0.016,0.1148,0.314,0.263,0.1068,0.1208,0.10632,0.0558,0.0519,0.0269,0.0365,0.1598,0.1526,0.207,0.1961,0.3786,0.3263,0.2201,0.1679,0.1242,0.0409,0.0614,0.5265
0.0146,0.1064,0.284,0.244,0.1004,0.1186,0.10279,0.0499,0.0467,0.0241,0.0327,0.1496,0.144,0.1956,0.1854,0.3688,0.3114,0.2089,0.1527,0.1142,0.0379,0.0554,0.5182
0.0157,0.1058,0.3,0.251,0.1053,0.1202,0.10658,0.0521,0.0481,0.0255,0.0349,0.1558,0.1442,0.2033,0.1889,0.3692,0.3156,0.2094,0.1649,0.1137,0.038,0.0613,0.5344
0.0139,0.0956,0.292,0.248,0.0962,0.1199,0.09704,0.0451,0.0419,0.024,0.0318,0.141,0.1332,0.1929,0.1834,0.3388,0.2991,0.1972,0.1453,0.1045,0.0368,0.0586,0.497
0.0321,0.1836,0.478,0.397,0.1927,0.2602,0.17554,0.1352,0.1169,0.0543,0.0734,0.3271,0.2821,0.348,0.3309,0.548,0.4813,0.3322,0.3814,0.2467,0.0712,0.1073,0.7158
0.0294,0.1584,0.392,0.343,0.1468,0.2314,0.11489,0.1043,0.0883,0.0387,0.0561,0.2593,0.2124,0.2524,0.2564,0.4275,0.3942,0.2804,0.3212,0.1844,0.0481,0.0757,0.5372
0.0349,0.18,0.368,0.33,0.1903,0.2314,0.11497,0.1181,0.0962,0.0361,0.0536,0.2954,0.2319,0.2381,0.2387,0.3967,0.3629,0.2888,0.4,0.2082,0.0529,0.0892,0.5677
0.0464,0.1908,0.336,0.32,0.2112,0.3018,0.11445,0.1497,0.112,0.0437,0.0622,0.3725,0.2596,0.2379,0.2476,0.339,0.3354,0.2776,0.5534,0.2509,0.0648,0.1001,0.4545
